name,movies,teleplay,all,award,1,2,3,4,4以后,剧情,NULL,爱情,动作,科幻,动画,家庭,惊悚,恐怖,悬疑,犯罪,舞台艺术,喜剧,冒险,历史,古装,传记,战争,奇幻,戏曲,儿童,音乐,歌舞,真人秀,灾难,同性,运动,武侠,黑色电影,鬼怪,西部,短片
徐静蕾,1,0,1,10.5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
范冰冰,4,1,5,13,2,1,0,0,2,4,0,2,2,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加藤雅也,1,0,1,0.5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秦沛,1,2,3,0,0,0,0,0,3,3,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
林雪,8,0,8,0,0,0,2,1,5,5,0,0,3,0,0,0,4,0,0,4,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
钱嘉乐,3,1,4,7,1,0,0,0,3,3,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
峰岸彻,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
姜丽文,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黄秋生,4,0,4,14.5,0,3,1,0,0,2,0,0,2,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吴君如,4,0,4,9.5,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
宋丹丹,2,3,5,1,0,1,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
詹瑞文,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
邵夷贝,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
郭君彦,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
张正中,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
张立昆,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尹光,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
郭富城,4,0,4,12.5,4,0,0,0,0,2,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
洪金宝,2,0,2,16.5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
周迅,2,0,2,22.5,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
